measure_id,measure_name,location_id,location_name,country_id,sex_id,sex_name,age_group_id,age_group_name,year_id,rei_id,pathogen,categoria,metric_id,metric,value,lower,upper
1,Deaths,107,Barbados,BRB,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,1,Number,0.000300756,9.35E-05,0.001460207
1,Deaths,367,Monaco,MCO,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,1,Number,0.000301458,0.000144151,0.000551474
1,Deaths,396,San Marino,SMR,3,Both,1,Under 5,2019,423,Mycoplasma,,1,Number,0.000301585,0.000209156,0.000433374
1,Deaths,68,Republic of Korea,KOR,3,Both,23,5-14 years,2021,187,Influenza,,1,Number,0.000301618,0.000215828,0.000451551
6,Incidence,67,Japan,JPN,3,Both,22,All Ages,2021,187,Influenza,,2,Percent,0.000302664,1.31E-05,0.001737112
6,Incidence,95,United Kingdom,GBR,3,Both,22,All Ages,2020,426,Polymicrobial,,2,Percent,0.0003036,0.00017451,0.000502396
1,Deaths,88,Malta,MLT,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,1,Number,0.000304023,0.000152581,0.000548406
1,Deaths,78,Denmark,DNK,3,Both,22,All Ages,2021,190,Respiratory syncytial virus,,2,Percent,0.000305264,5.00E-05,0.000872221
1,Deaths,67,Japan,JPN,3,Both,23,5-14 years,2021,187,Influenza,,2,Percent,0.000305545,1.31E-05,0.001665818
1,Deaths,67,Japan,JPN,3,Both,24,15-49 years,2021,187,Influenza,,2,Percent,0.000305545,1.31E-05,0.001665818
1,Deaths,27,Samoa,WSM,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000305895,0.000152725,0.000520759
1,Deaths,68,Republic of Korea,KOR,3,Both,1,Under 5,2021,187,Influenza,,1,Number,0.000309154,0.000203669,0.000470085
1,Deaths,53,Serbia,SRB,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000309885,0.000115949,0.000676152
1,Deaths,53,Serbia,SRB,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000309885,0.000115949,0.000676152
1,Deaths,367,Monaco,MCO,3,Both,23,5-14 years,2021,417,Escherichia coli,,1,Number,0.000312006,0.000234444,0.000408848
6,Incidence,43,Albania,ALB,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.0003122,0.000119651,0.000667956
6,Incidence,45,Bulgaria,BGR,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000312384,0.000116345,0.00066826
6,Incidence,95,United Kingdom,GBR,3,Both,23,5-14 years,2020,414,Acinetobacter baumannii,,2,Percent,0.000314457,0.000271014,0.000360687
1,Deaths,74,Andorra,AND,3,Both,23,5-14 years,1990,393,Group B streptococcus,,1,Number,0.000314785,0.000222122,0.000425051
6,Incidence,44,Bosnia and Herzegovina,BIH,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000315013,0.000120526,0.000668156
1,Deaths,367,Monaco,MCO,3,Both,1,Under 5,2020,426,Polymicrobial,,1,Number,0.00031537,0.00013489,0.000612361
6,Incidence,95,United Kingdom,GBR,3,Both,25,50-69 years,2020,426,Polymicrobial,,2,Percent,0.000315605,0.000181934,0.000526319
1,Deaths,74,Andorra,AND,3,Both,23,5-14 years,1990,417,Escherichia coli,,1,Number,0.000317399,0.000222112,0.00043064
1,Deaths,74,Andorra,AND,3,Both,23,5-14 years,2021,423,Mycoplasma,,1,Number,0.000317501,0.000230892,0.000424141
6,Incidence,95,United Kingdom,GBR,3,Both,24,15-49 years,2020,414,Acinetobacter baumannii,,2,Percent,0.000317808,0.000274392,0.00036502
6,Incidence,49,North Macedonia,MKD,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000318794,0.000121939,0.000676067
1,Deaths,29,Tonga,TON,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000319382,0.000158462,0.000544814
1,Deaths,416,Tuvalu,TUV,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000320497,0.000162072,0.000540951
1,Deaths,54,Slovakia,SVK,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.00032069,8.90E-05,0.000787125
1,Deaths,396,San Marino,SMR,3,Both,1,Under 5,2021,420,Klebsiella pneumoniae,,1,Number,0.000321061,0.000186615,0.000498183
1,Deaths,117,Saint Vincent and the Grenadines,VCT,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,1,Number,0.000321368,9.78E-05,0.001567464
1,Deaths,77,Cyprus,CYP,3,Both,23,5-14 years,2020,426,Polymicrobial,,1,Number,0.000321687,0.000169634,0.00055724
6,Incidence,95,United Kingdom,GBR,3,Both,26,70+ years,2020,426,Polymicrobial,,2,Percent,0.000325163,0.000182354,0.000544436
1,Deaths,95,United Kingdom,GBR,3,Both,23,5-14 years,2019,426,Polymicrobial,,2,Percent,0.00032632,0.000185746,0.000540739
1,Deaths,396,San Marino,SMR,3,Both,23,5-14 years,2019,425,Other viral etiologies of LRI,,1,Number,0.000326485,0.000242379,0.000440578
1,Deaths,95,United Kingdom,GBR,3,Both,1,Under 5,2019,418,Fungus,,2,Percent,0.00032807,0.000240294,0.000439536
1,Deaths,50,Montenegro,MNE,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000328505,0.000122341,0.000715954
1,Deaths,50,Montenegro,MNE,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000328505,0.000122341,0.000715954
1,Deaths,83,Iceland,ISL,3,Both,23,5-14 years,2020,426,Polymicrobial,,1,Number,0.00032906,0.000163275,0.000594926
1,Deaths,22,Fiji,FJI,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000329184,0.000165837,0.000553446
1,Deaths,396,San Marino,SMR,3,Both,24,15-49 years,2021,415,Chlamydia spp,,1,Number,0.000331385,0.000159193,0.000521365
1,Deaths,74,Andorra,AND,3,Both,23,5-14 years,2019,420,Klebsiella pneumoniae,,1,Number,0.000333364,0.000250201,0.000428803
1,Deaths,367,Monaco,MCO,3,Both,1,Under 5,2020,415,Chlamydia spp,,1,Number,0.000337134,0.000251473,0.000454671
1,Deaths,95,United Kingdom,GBR,3,Both,1,Under 5,1990,418,Fungus,,2,Percent,0.000337248,0.00024564,0.000448202
1,Deaths,78,Denmark,DNK,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000337477,5.46E-05,0.000959809
1,Deaths,58,Estonia,EST,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000337486,6.80E-05,0.000932125
1,Deaths,121,Bolivia (Plurinational State of),BOL,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000337996,7.55E-05,0.000873015
1,Deaths,121,Bolivia (Plurinational State of),BOL,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000337996,7.55E-05,0.000873015
1,Deaths,74,Andorra,AND,3,Both,23,5-14 years,2020,423,Mycoplasma,,1,Number,0.000338775,0.000247627,0.00044913
1,Deaths,416,Tuvalu,TUV,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,1,Number,0.000339474,0.000159571,0.000587639
6,Incidence,35,Georgia,GEO,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000339918,7.97E-05,0.001113167
6,Incidence,35,Georgia,GEO,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000339918,7.97E-05,0.001113167
6,Incidence,67,Japan,JPN,3,Both,26,70+ years,2021,187,Influenza,,2,Percent,0.000340243,1.46E-05,0.00194484
1,Deaths,367,Monaco,MCO,3,Both,1,Under 5,2021,426,Polymicrobial,,1,Number,0.000342996,0.000143952,0.000664957
1,Deaths,51,Poland,POL,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000343034,3.68E-05,0.001183979
